키워드,딜,pid,cidpid,cid,딜개수,pid개수,cid개수
333,600065727 601330152 628755584,2434398692 1843014353 1797592281 2299197465 2127658491 2436891432 2186541109 1939910726 527974280 2422555648 2423092785 1923669662 2188372727 2259126643 1841751230,2468088116 2187635279 2113537331 1758652983 2010277825 2081411999 1759473748 1909877363 1704079626 1840437792 1088951141 1919419801 1801856994 2010278262 231904770 159182626 2226581588 1411924716 1953771094 1960666137 1813957687 1289303565 2482795092 2456036677 2197445596 2153089177 2423607774 2181155170 1098138896 1859761274 2392937699 123308954,1085349039 1009026973 1083733564 1006465114 1085151179 1083846372 1005659037 1043740581 1003969561 1009027061 1000880394 1059858527 1009027123 1084685191 1003749716 1000286903 1008595990 1084798545 1004008110 1044236805 1009026971 1040691144 1005659037 1023421297 1023421297 1080353689 1001154518 1028297651 1084930072 1084008302 1073579879 1003749755,3,15,32
nike,628791494 628629646 622556829 614900715 628502328 628080585 628960490 628779937,2463571639 2488916663 2490198315 2488925476 2488919567 2491112783 2488915333 2481377611 2488172020 2488918657 2481586680 2490082325 2488169729 2491417984 2488148441 2473872294 2479172318 2487334245 2469605055 2489661498 2460005558 2471998906 2490199187 2469529753 2291938607 2472004951 2471077973 2488171991 2469524810,1962542083 2469605151 2183657606 2427325756 2465419118 1891677774 2373079308 2144563862 2299802973 2465271321 1972600282 2281980970 1897146088,1007799962 1003084007 1009301586 1085059186 1084748673 1001319659 1077601671 1009394829 1084108717 1084831555 1007799962 1084737747 1004948140,8,29,13
nike,628791494 628629646 622556829 614900715 628502328 628080585 628960490 628779937,2463571639 2488916663 2490198315 2488925476 2488919567 2491112783 2488915333 2481377611 2488172020 2488918657 2481586680 2490082325 2488169729 2491417984 2488148441 2473872294 2479172318 2487334245 2469605055 2489661498 2460005558 2471998906 2490199187 2469529753 2291938607 2472004951 2471077973 2488171991 2469524810,1962542083 2469605151 2183657606 2427325756 2465419118 1891677774 2373079308 2144563862 2299802973 2465271321 1972600282 2281980970 1897146088,1007799962 1003084007 1009301586 1085059186 1084748673 1001319659 1077601671 1009394829 1084108717 1084831555 1007799962 1084737747 1004948140,8,29,13
